id,ad_creation_time,ad_creative_bodies,ad_creative_link_captions,ad_creative_link_descriptions,ad_creative_link_titles,ad_delivery_start_time,ad_snapshot_url,bylines,currency,languages,page_id,page_name,publisher_platforms,estimated_audience_size_lower,estimated_audience_size_upper,impressions_lower,impressions_upper,spend_lower,spend_upper,ad_delivery_stop_time,female_13-17,female_18-24,female_25-34,female_35-44,female_45-54,female_55-64,female_65+,male_13-17,male_18-24,male_25-34,male_35-44,male_45-54,male_55-64,male_65+,unknown_13-17,unknown_18-24,unknown_25-34,unknown_35-44,unknown_45-54,unknown_55-64,unknown_65+,Central Bohemian Region,Hradec Králové Region,Karlovy Vary Region,Liberec Region,Moravian-Silesian Region,Olomouc Region,Pardubice Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Ústí nad Labem Region,Vysočina Region,Zlín Region
3040635642749342,2022-11-02,"Jsem a budu proti školnému. Podle vládních poradců by do dvou let mělo být na českých vysokých školách zavedeno školné. 

Dlouhodobě s tím zásadně nesouhlasím. Rovný přístup ke vzdělání je nezbytností proto, aby Česká republika uspěla v tvrdém mezinárodním prostředí. Jen vzdělaná společnost je úspěšná.

Zpoplatnění vzdělání by udělalo z mnoha mladých lidí a regionů občany a místa bez budoucnosti. Měli bychom naopak usilovat o to, aby žádný mladý talent nebyl promarněn. Chceme-li společnost bez vlivu extrémů, chceme-li umět vymýšlet a vyrábět produkty s vysokou přidanou hodnotou, potřebujeme vzdělanou společnost. 

Proto je velmi důležité, aby byla dostupnost vysokoškolského vzdělávání zachována. Půjčky studentům jsou pouze byznys pro banky! Příkladem dlouhodobě zadlužených mladých lidí jsou Anglie a USA! Je od vládní koalice urážlivé, jednou rukou vylepšovat zisky hazardu a druhou brát mladým lidem možnost bezplatně studovat. Pokud jde o školné, jsem a budu zásadně proti.","","","",2022-11-02,https://www.facebook.com/ads/archive/render_ad/?id=3040635642749342&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,500001,1000000,10000,14999,200,299,2022-11-03,,0.016,0.025,0.037,0.065,0.112,0.088,,0.071,0.126,0.141,0.141,0.095,0.078,,0,0.001,0.001,0,0,0.001,0.1,0.058,0.041,0.053,0.114,0.056,0.053,0.056,0.079,0.071,0.101,0.125,0.047,0.047
449772150411769,2022-11-02,"Jsem a budu proti školnému. Podle vládních poradců by do dvou let mělo být na českých vysokých školách zavedeno školné. 

Dlouhodobě s tím zásadně nesouhlasím. Rovný přístup ke vzdělání je nezbytností proto, aby Česká republika uspěla v tvrdém mezinárodním prostředí. Jen vzdělaná společnost je úspěšná.

Zpoplatnění vzdělání by udělalo z mnoha mladých lidí a regionů občany a místa bez budoucnosti. Měli bychom naopak usilovat o to, aby žádný mladý talent nebyl promarněn. Chceme-li společnost bez vlivu extrémů, chceme-li umět vymýšlet a vyrábět produkty s vysokou přidanou hodnotou, potřebujeme vzdělanou společnost. 

Proto je velmi důležité, aby byla dostupnost vysokoškolského vzdělávání zachována. Půjčky studentům jsou pouze byznys pro banky! Příkladem dlouhodobě zadlužených mladých lidí jsou Anglie a USA! Je od vládní koalice urážlivé, jednou rukou vylepšovat zisky hazardu a druhou brát mladým lidem možnost bezplatně studovat. Pokud jde o školné, jsem a budu zásadně proti.","","","",2022-11-02,https://www.facebook.com/ads/archive/render_ad/?id=449772150411769&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,1000001,,1000,1999,0,99,2022-11-03,,0.063,0.075,0.075,0.067,0.045,0.029,,0.08,0.214,0.167,0.103,0.042,0.036,,,,0.003,,,0.001,0.09,0.055,0.033,0.052,0.101,0.054,0.058,0.056,0.089,0.07,0.11,0.126,0.057,0.048
1828425937496779,2022-11-01,"Nejsem zvyklý usmívat se do kamer, je mi dobře ve flanelce mezi lidmi, nebo na motorce. Nejsem zvyklý, že pomluvy a spekulace dostávají víc prostoru než pravda a argumenty. Ale jsem připravený to zvládnout, abych mohl pokračovat v tom, na co zvyklý jsem - sloužit naší zemi a lidem. 

Prošel jsem mnoha krizemi, v zahraniční politice i na bojišti, a naučil se je řešit. Přesně takové zkušenosti naše země teď potřebuje, proto jí svoji službu nabízím.",instagram.com,"47K Followers, 81 Following, 955 Posts - See Instagram photos and videos from Generál Pavel (@general_pavel)",Generál Pavel (@general_pavel) • Instagram photos and videos,2022-11-01,https://www.facebook.com/ads/archive/render_ad/?id=1828425937496779&access_token={access_token},Petr Pavel,CZK,cs,102389958091735,Generál Pavel,instagram,500001,1000000,10000,14999,600,699,2022-11-03,,0.162,0.169,0.044,0.021,0.005,0.01,0,0.246,0.24,0.053,0.019,0.006,0.015,,0.004,0.002,0.001,0.001,0,0.001,0.093,0.048,0.019,0.035,0.08,0.054,0.043,0.054,0.244,0.059,0.124,0.055,0.039,0.053
584278943467873,2022-11-01,"Nejsem zvyklý usmívat se do kamer, je mi dobře ve flanelce mezi lidmi, nebo na motorce. Nejsem zvyklý, že pomluvy a spekulace dostávají víc prostoru než pravda a argumenty. Ale jsem připravený to zvládnout, abych mohl pokračovat v tom, na co zvyklý jsem - sloužit naší zemi a lidem. 

Prošel jsem mnoha krizemi, v zahraniční politice i na bojišti, a naučil se je řešit. Přesně takové zkušenosti naše země teď potřebuje, proto jí svoji službu nabízím.","","","",2022-11-01,https://www.facebook.com/ads/archive/render_ad/?id=584278943467873&access_token={access_token},Petr Pavel,CZK,cs,102389958091735,Generál Pavel,facebook,1000001,,45000,49999,1000,1499,2022-11-03,,0.036,0.091,0.085,0.075,0.057,0.04,,0.058,0.198,0.172,0.103,0.041,0.038,,0.001,0.001,0.002,0.001,0,0.001,0.098,0.054,0.036,0.047,0.116,0.058,0.051,0.057,0.108,0.066,0.106,0.105,0.045,0.051
3132421833735147,2022-10-31,"VRAŤME ČESKU ŘÁD A KLID
Lidé cítí chaos a nejistotu, země je v krizi, a proto potřebujeme prezidenta, který ví, jak se v krizi chovat, a krize řešil. Andrej Babiš sice zemi v krizi vedl, ale soudě podle výsledků by druhou šanci jako prezident neměl dostat. 

#spolecnyprezident #nenimitojedno",instagram.com,"47K Followers, 81 Following, 955 Posts - See Instagram photos and videos from Generál Pavel (@general_pavel)",Generál Pavel (@general_pavel) • Instagram photos and videos,2022-10-31,https://www.facebook.com/ads/archive/render_ad/?id=3132421833735147&access_token={access_token},Petr Pavel,CZK,cs,102389958091735,Generál Pavel,instagram,1000001,,15000,19999,700,799,2022-11-03,0,0.351,0.158,0.03,0.014,0.007,0.011,0,0.236,0.13,0.026,0.01,0.004,0.01,,0.009,0.003,0,0,0,0,0.119,0.045,0.029,0.038,0.102,0.054,0.047,0.058,0.173,0.055,0.115,0.076,0.04,0.049
8289431331127550,2022-10-31,"VRAŤME ČESKU ŘÁD A KLID
Lidé cítí chaos a nejistotu, země je v krizi, a proto potřebujeme prezidenta, který ví, jak se v krizi chovat, a krize řešil. Andrej Babiš sice zemi v krizi vedl, ale soudě podle výsledků by druhou šanci jako prezident neměl dostat.","","","",2022-10-31,https://www.facebook.com/ads/archive/render_ad/?id=8289431331127550&access_token={access_token},Petr Pavel,CZK,cs,102389958091735,Generál Pavel,facebook,1000001,,80000,89999,1500,1999,2022-11-03,,0.019,0.087,0.085,0.087,0.066,0.051,,0.032,0.186,0.173,0.119,0.051,0.04,,0,0.001,0.002,0.001,0,0.001,0.108,0.053,0.033,0.047,0.115,0.057,0.051,0.056,0.112,0.063,0.109,0.103,0.045,0.048
644132107335498,2022-10-31,"Vzhledem k intenzivní palebné přípravě, které v posledních týdnech čelím, mě vůbec nepřekvapuje, že Andrej Babiš do toho jde. Osobně se těším, že do debat přinese oživení, ale obecně jeho kandidaturu vnímám jako hrozbu pro Českou republiku, a to kvůli populismu, který zosobňuje.","","","",2022-10-31,https://www.facebook.com/ads/archive/render_ad/?id=644132107335498&access_token={access_token},Petr Pavel,CZK,cs,102389958091735,Generál Pavel,instagram,1000001,,20000,24999,700,799,2022-11-03,0,0.338,0.193,0.029,0.011,0.005,0.013,0,0.211,0.145,0.023,0.008,0.003,0.01,0,0.006,0.003,0.001,0,0,0,0.113,0.047,0.032,0.037,0.105,0.052,0.047,0.057,0.163,0.056,0.115,0.085,0.041,0.051
601133401824150,2022-10-31,"Vzhledem k intenzivní palebné přípravě, které v posledních týdnech čelím, mě vůbec nepřekvapuje, že Andrej Babiš do toho jde. Osobně se těším, že do debat přinese oživení, ale obecně jeho kandidaturu vnímám jako hrozbu pro Českou republiku, a to kvůli populismu, který zosobňuje.","","","",2022-10-31,https://www.facebook.com/ads/archive/render_ad/?id=601133401824150&access_token={access_token},Petr Pavel,CZK,cs,102389958091735,Generál Pavel,facebook,1000001,,90000,99999,1500,1999,2022-11-03,,0.017,0.079,0.09,0.088,0.067,0.041,,0.031,0.172,0.191,0.131,0.054,0.037,,0,0.001,0.001,0,0,0,0.11,0.054,0.036,0.048,0.111,0.057,0.052,0.058,0.106,0.066,0.098,0.109,0.047,0.046
1085137392191117,2022-10-31,"Uplynulý víkend jsem strávil v Bruselu na konferenci Světové federace klinické biochemie (IFCC), pořádané při příležitosti 70. výročí jejího založení. Diskutovali jsme nové trendy v laboratorní diagnostice, jak rychleji a přesněji pomáhat pacientům při diagnostice a monitoraci onemocnění, ale i při prevenci a screeningu nemocí. Setkal jsem se s přáteli z celého světa, od Latinské Ameriky a Afriky po Indii, Taiwan a Koreu a samozřejmě také s kolegy z Evropy. Připravujeme konferenci, která se má konat v Praze, kam se řada z nich těší.","","","",2022-10-31,https://www.facebook.com/ads/archive/render_ad/?id=1085137392191117&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,1000001,,7000,7999,100,199,2022-11-03,,0.051,0.073,0.075,0.07,0.05,0.036,,0.089,0.164,0.178,0.118,0.048,0.043,,0,0.001,0.001,0.001,,0.001,0.1,0.058,0.038,0.047,0.119,0.061,0.055,0.057,0.092,0.064,0.101,0.113,0.049,0.046
1133638283932407,2022-10-31,"Uplynulý víkend jsem strávil v Bruselu na konferenci Světové federace klinické biochemie (IFCC), pořádané při příležitosti 70. výročí jejího založení. Diskutovali jsme nové trendy v laboratorní diagnostice, jak rychleji a přesněji pomáhat pacientům při diagnostice a monitoraci onemocnění, ale i při prevenci a screeningu nemocí. Setkal jsem se s přáteli z celého světa, od Latinské Ameriky a Afriky po Indii, Taiwan a Koreu a samozřejmě také s kolegy z Evropy. Připravujeme konferenci, která se má konat v Praze, kam se řada z nich těší.","","","",2022-10-31,https://www.facebook.com/ads/archive/render_ad/?id=1133638283932407&access_token={access_token},ZFP s.r.o,CZK,cs,236211929833146,Tomáš Zima,facebook,1000001,,0,999,0,99,2022-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
