page_name,page_id,ad_creative_bodies
Tomáš Zima,236211929833146,"Jsem a budu proti školnému. Podle vládních poradců by do dvou let mělo být na českých vysokých školách zavedeno školné. 

Dlouhodobě s tím zásadně nesouhlasím. Rovný přístup ke vzdělání je nezbytností proto, aby Česká republika uspěla v tvrdém mezinárodním prostředí. Jen vzdělaná společnost je úspěšná.

Zpoplatnění vzdělání by udělalo z mnoha mladých lidí a regionů občany a místa bez budoucnosti. Měli bychom naopak usilovat o to, aby žádný mladý talent nebyl promarněn. Chceme-li společnost bez vlivu extrémů, chceme-li umět vymýšlet a vyrábět produkty s vysokou přidanou hodnotou, potřebujeme vzdělanou společnost. 

Proto je velmi důležité, aby byla dostupnost vysokoškolského vzdělávání zachována. Půjčky studentům jsou pouze byznys pro banky! Příkladem dlouhodobě zadlužených mladých lidí jsou Anglie a USA! Je od vládní koalice urážlivé, jednou rukou vylepšovat zisky hazardu a druhou brát mladým lidem možnost bezplatně studovat. Pokud jde o školné, jsem a budu zásadně proti."
Tomáš Zima,236211929833146,"Jsem a budu proti školnému. Podle vládních poradců by do dvou let mělo být na českých vysokých školách zavedeno školné. 

Dlouhodobě s tím zásadně nesouhlasím. Rovný přístup ke vzdělání je nezbytností proto, aby Česká republika uspěla v tvrdém mezinárodním prostředí. Jen vzdělaná společnost je úspěšná.

Zpoplatnění vzdělání by udělalo z mnoha mladých lidí a regionů občany a místa bez budoucnosti. Měli bychom naopak usilovat o to, aby žádný mladý talent nebyl promarněn. Chceme-li společnost bez vlivu extrémů, chceme-li umět vymýšlet a vyrábět produkty s vysokou přidanou hodnotou, potřebujeme vzdělanou společnost. 

Proto je velmi důležité, aby byla dostupnost vysokoškolského vzdělávání zachována. Půjčky studentům jsou pouze byznys pro banky! Příkladem dlouhodobě zadlužených mladých lidí jsou Anglie a USA! Je od vládní koalice urážlivé, jednou rukou vylepšovat zisky hazardu a druhou brát mladým lidem možnost bezplatně studovat. Pokud jde o školné, jsem a budu zásadně proti."
Generál Pavel,102389958091735,"Nejsem zvyklý usmívat se do kamer, je mi dobře ve flanelce mezi lidmi, nebo na motorce. Nejsem zvyklý, že pomluvy a spekulace dostávají víc prostoru než pravda a argumenty. Ale jsem připravený to zvládnout, abych mohl pokračovat v tom, na co zvyklý jsem - sloužit naší zemi a lidem. 

Prošel jsem mnoha krizemi, v zahraniční politice i na bojišti, a naučil se je řešit. Přesně takové zkušenosti naše země teď potřebuje, proto jí svoji službu nabízím."
Generál Pavel,102389958091735,"Nejsem zvyklý usmívat se do kamer, je mi dobře ve flanelce mezi lidmi, nebo na motorce. Nejsem zvyklý, že pomluvy a spekulace dostávají víc prostoru než pravda a argumenty. Ale jsem připravený to zvládnout, abych mohl pokračovat v tom, na co zvyklý jsem - sloužit naší zemi a lidem. 

Prošel jsem mnoha krizemi, v zahraniční politice i na bojišti, a naučil se je řešit. Přesně takové zkušenosti naše země teď potřebuje, proto jí svoji službu nabízím."
Generál Pavel,102389958091735,"VRAŤME ČESKU ŘÁD A KLID
Lidé cítí chaos a nejistotu, země je v krizi, a proto potřebujeme prezidenta, který ví, jak se v krizi chovat, a krize řešil. Andrej Babiš sice zemi v krizi vedl, ale soudě podle výsledků by druhou šanci jako prezident neměl dostat. 

#spolecnyprezident #nenimitojedno"
Generál Pavel,102389958091735,"VRAŤME ČESKU ŘÁD A KLID
Lidé cítí chaos a nejistotu, země je v krizi, a proto potřebujeme prezidenta, který ví, jak se v krizi chovat, a krize řešil. Andrej Babiš sice zemi v krizi vedl, ale soudě podle výsledků by druhou šanci jako prezident neměl dostat."
Generál Pavel,102389958091735,"Vzhledem k intenzivní palebné přípravě, které v posledních týdnech čelím, mě vůbec nepřekvapuje, že Andrej Babiš do toho jde. Osobně se těším, že do debat přinese oživení, ale obecně jeho kandidaturu vnímám jako hrozbu pro Českou republiku, a to kvůli populismu, který zosobňuje."
Generál Pavel,102389958091735,"Vzhledem k intenzivní palebné přípravě, které v posledních týdnech čelím, mě vůbec nepřekvapuje, že Andrej Babiš do toho jde. Osobně se těším, že do debat přinese oživení, ale obecně jeho kandidaturu vnímám jako hrozbu pro Českou republiku, a to kvůli populismu, který zosobňuje."
Tomáš Zima,236211929833146,"Uplynulý víkend jsem strávil v Bruselu na konferenci Světové federace klinické biochemie (IFCC), pořádané při příležitosti 70. výročí jejího založení. Diskutovali jsme nové trendy v laboratorní diagnostice, jak rychleji a přesněji pomáhat pacientům při diagnostice a monitoraci onemocnění, ale i při prevenci a screeningu nemocí. Setkal jsem se s přáteli z celého světa, od Latinské Ameriky a Afriky po Indii, Taiwan a Koreu a samozřejmě také s kolegy z Evropy. Připravujeme konferenci, která se má konat v Praze, kam se řada z nich těší."
Tomáš Zima,236211929833146,"Uplynulý víkend jsem strávil v Bruselu na konferenci Světové federace klinické biochemie (IFCC), pořádané při příležitosti 70. výročí jejího založení. Diskutovali jsme nové trendy v laboratorní diagnostice, jak rychleji a přesněji pomáhat pacientům při diagnostice a monitoraci onemocnění, ale i při prevenci a screeningu nemocí. Setkal jsem se s přáteli z celého světa, od Latinské Ameriky a Afriky po Indii, Taiwan a Koreu a samozřejmě také s kolegy z Evropy. Připravujeme konferenci, která se má konat v Praze, kam se řada z nich těší."
