page_name,page_id,total_ads,unique_ads,percent_unique,avg_words,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,avg_ad_min_audience,avg_ad_runtime,avg_female_13_17,avg_female_18_24,avg_female_25_34,avg_female_35_44,avg_female_45_54,avg_female_55_64,avg_female_65_plus,avg_male_13_17,avg_male_18_24,avg_male_25_34,avg_male_35_44,avg_male_45_54,avg_male_55_64,avg_male_65_plus,avg_female,avg_male,avg_13_17,avg_18_24,avg_25_34,avg_35_44,avg_45_54,avg_55_64,avg_65_plus,avg_pha,avg_stc,avg_jhc,avg_plk,avg_kvk,avg_ulk,avg_lbk,avg_hkk,avg_pak,avg_vys,avg_jhm,avg_olk,avg_msk,avg_zlk
SPOLU pro Prahu,101279652413889,1904,243,0.128,58,798548,419,12154548,6384,70987,3.6,0,0.025,0.151,0.147,0.086,0.014,0.011,0,0.025,0.182,0.177,0.094,0.012,0.008,0.434,0.498,0,0.05,0.333,0.324,0.179,0.027,0.019,0.898,0.032,0.001,0.001,0,0.001,0.001,0.001,0,0,0.001,0.001,0.001,0
Tomio Okamura - SPD,179497582061065,678,629,0.928,406,381311,562,5940661,8762,924147,1.3,0,0.006,0.018,0.036,0.063,0.108,0.117,0,0.026,0.093,0.162,0.151,0.119,0.091,0.349,0.642,0,0.032,0.111,0.199,0.214,0.227,0.209,0.086,0.093,0.053,0.056,0.039,0.107,0.051,0.052,0.048,0.044,0.113,0.067,0.133,0.053
ODS Praha,137681825598,639,89,0.139,60,174530,273,2517180,3939,22632,2.8,0,0.003,0.084,0.166,0.072,0.017,0.019,0,0.013,0.189,0.276,0.116,0.023,0.015,0.361,0.631,0,0.016,0.273,0.442,0.188,0.04,0.034,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Generál Pavel,102389958091735,573,271,0.473,57,1454964,2539,40871214,71328,679242,7.9,0,0.028,0.152,0.092,0.073,0.047,0.044,0,0.036,0.226,0.136,0.084,0.037,0.035,0.436,0.553,0,0.063,0.378,0.227,0.157,0.084,0.079,0.112,0.084,0.054,0.055,0.027,0.086,0.042,0.043,0.044,0.04,0.137,0.076,0.132,0.061
Milion chvilek pro demokracii,728495140691300,524,52,0.099,78,408238,779,3390738,6471,265368,5.3,0,0.042,0.091,0.085,0.063,0.048,0.042,0,0.058,0.094,0.078,0.063,0.045,0.037,0.371,0.374,0,0.1,0.185,0.163,0.125,0.093,0.079,0.242,0.081,0.036,0.029,0.014,0.038,0.025,0.033,0.029,0.024,0.088,0.031,0.048,0.031
Tomáš Zima,236211929833146,450,98,0.218,52,361725,804,11829775,26288,546043,12.4,0,0.019,0.035,0.034,0.042,0.051,0.061,0,0.057,0.133,0.116,0.093,0.059,0.052,0.241,0.51,0,0.075,0.167,0.15,0.135,0.11,0.112,0.07,0.069,0.047,0.047,0.025,0.083,0.036,0.042,0.047,0.033,0.088,0.046,0.084,0.037
Greenpeace Česká republika,55876739776,396,79,0.199,160,942802,2381,7790802,19674,186572,12.4,0.004,0.184,0.252,0.156,0.081,0.039,0.035,0.003,0.048,0.074,0.05,0.023,0.01,0.011,0.75,0.218,0.007,0.231,0.326,0.206,0.104,0.049,0.046,0.291,0.087,0.046,0.042,0.02,0.062,0.037,0.041,0.037,0.03,0.11,0.044,0.088,0.037
PRO Plzeň,233440870590457,354,164,0.463,40,117573,332,1139823,3220,12996,2.8,0,0.061,0.091,0.091,0.061,0.029,0.021,0,0.06,0.091,0.069,0.05,0.019,0.013,0.355,0.302,0,0.121,0.182,0.16,0.112,0.048,0.034,0.001,0.002,0.007,0.642,0,0.003,0,0,0,0,0.002,0.001,0.001,0.001
"Eva Rajchmanová, senátorka za Hodonínsko a Kyjovsko",110208494972750,345,161,0.467,111,45078,131,850328,2465,12788,3.9,0,0.066,0.1,0.114,0.126,0.088,0.071,0,0.062,0.122,0.101,0.074,0.039,0.031,0.565,0.429,0,0.128,0.222,0.215,0.201,0.127,0.102,0.001,0,0,0,0,0,0,0,0,0,0.991,0,0,0.002
Karel Janeček,223117541065037,334,200,0.599,132,3083433,9232,46903840,140431,972456,11.7,0,0.181,0.131,0.084,0.059,0.031,0.024,0,0.144,0.148,0.089,0.053,0.021,0.017,0.51,0.472,0,0.325,0.279,0.173,0.112,0.052,0.041,0.159,0.114,0.055,0.054,0.028,0.083,0.043,0.049,0.045,0.041,0.11,0.054,0.101,0.052
