page_name,page_id,region,regional_spend
SPOLU pro Prahu,101279652413889,avg_pha,717096
SPOLU pro Prahu,101279652413889,avg_stc,25554
SPOLU pro Prahu,101279652413889,avg_jhc,799
SPOLU pro Prahu,101279652413889,avg_plk,799
SPOLU pro Prahu,101279652413889,avg_kvk,0
SPOLU pro Prahu,101279652413889,avg_ulk,799
SPOLU pro Prahu,101279652413889,avg_lbk,799
SPOLU pro Prahu,101279652413889,avg_hkk,799
SPOLU pro Prahu,101279652413889,avg_pak,0
SPOLU pro Prahu,101279652413889,avg_vys,0
SPOLU pro Prahu,101279652413889,avg_jhm,799
SPOLU pro Prahu,101279652413889,avg_olk,799
SPOLU pro Prahu,101279652413889,avg_msk,799
SPOLU pro Prahu,101279652413889,avg_zlk,0
Tomio Okamura - SPD,179497582061065,avg_pha,32793
Tomio Okamura - SPD,179497582061065,avg_stc,35462
Tomio Okamura - SPD,179497582061065,avg_jhc,20209
Tomio Okamura - SPD,179497582061065,avg_plk,21353
Tomio Okamura - SPD,179497582061065,avg_kvk,14871
Tomio Okamura - SPD,179497582061065,avg_ulk,40800
Tomio Okamura - SPD,179497582061065,avg_lbk,19447
Tomio Okamura - SPD,179497582061065,avg_hkk,19828
Tomio Okamura - SPD,179497582061065,avg_pak,18303
Tomio Okamura - SPD,179497582061065,avg_vys,16778
Tomio Okamura - SPD,179497582061065,avg_jhm,43088
Tomio Okamura - SPD,179497582061065,avg_olk,25548
Tomio Okamura - SPD,179497582061065,avg_msk,50714
Tomio Okamura - SPD,179497582061065,avg_zlk,20209
ODS Praha,137681825598,avg_pha,174530
ODS Praha,137681825598,avg_stc,0
ODS Praha,137681825598,avg_jhc,0
ODS Praha,137681825598,avg_plk,0
ODS Praha,137681825598,avg_kvk,0
ODS Praha,137681825598,avg_ulk,0
ODS Praha,137681825598,avg_lbk,0
ODS Praha,137681825598,avg_hkk,0
ODS Praha,137681825598,avg_pak,0
ODS Praha,137681825598,avg_vys,0
ODS Praha,137681825598,avg_jhm,0
ODS Praha,137681825598,avg_olk,0
ODS Praha,137681825598,avg_msk,0
ODS Praha,137681825598,avg_zlk,0
Generál Pavel,102389958091735,avg_pha,162956
Generál Pavel,102389958091735,avg_stc,122217
Generál Pavel,102389958091735,avg_jhc,78568
Generál Pavel,102389958091735,avg_plk,80023
Generál Pavel,102389958091735,avg_kvk,39284
Generál Pavel,102389958091735,avg_ulk,125127
Generál Pavel,102389958091735,avg_lbk,61108
Generál Pavel,102389958091735,avg_hkk,62563
Generál Pavel,102389958091735,avg_pak,64018
