page_id,page_name,total_ads,unique_ads,percent_unique,avg_words,avg_spend,per_ad_avg_spend,total_avg_impressions,per_ad_avg_impression,avg_ad_min_audience,avg_ad_runtime,avg_female_13_17,avg_female_18_24,avg_female_25_34,avg_female_35_44,avg_female_45_54,avg_female_55_64,avg_female_65_plus,avg_male_13_17,avg_male_18_24,avg_male_25_34,avg_male_35_44,avg_male_45_54,avg_male_55_64,avg_male_65_plus,avg_13_17,avg_18_24,avg_25_34,avg_35_44,avg_45_54,avg_55_64,avg_65_plus,avg_female,avg_male,avg_pha,avg_stc,avg_jhc,avg_plk,avg_kvk,avg_ulk,avg_lbk,avg_hkk,avg_pak,avg_vys,avg_jhm,avg_olk,avg_msk,avg_zlk
100140496170809,Aleš Boháč - Starostové pro Ostravu,14,7,0.5,52,124593,8900,1000493,71464,100001,2.1,0,0.015,0.049,0.074,0.1,0.124,0.136,0,0.016,0.085,0.099,0.123,0.094,0.082,0,0.031,0.134,0.173,0.222,0.218,0.218,0.498,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0.996,0
100179822804615,BRUNTÁL srdcem a rozumem,30,24,0.8,43,19985,666,143985,4800,1354,11.3,0,0.068,0.105,0.12,0.085,0.051,0.144,0.001,0.06,0.1,0.095,0.059,0.025,0.086,0.001,0.128,0.205,0.214,0.144,0.076,0.23,0.572,0.425,0,0,0,0,0,0,0,0,0,0,0.001,0,0.997,0
100201482753387,Ole.Ostravská levice,18,17,0.944,96,16391,911,150991,8388,630001,3.9,0,0,0.137,0.053,0.068,0.107,0.161,0,0,0.071,0.079,0.115,0.1,0.105,0,0,0.208,0.132,0.183,0.207,0.267,0.525,0.471,0.049,0.053,0.031,0.033,0.023,0.059,0.029,0.027,0.027,0.023,0.06,0.034,0.523,0.029
100201752249169,Spolu21,71,35,0.493,40,60914,858,963464,13570,74649,4,0,0.022,0.036,0.041,0.057,0.037,0,0,0.131,0.221,0.191,0.176,0.083,0,0,0.153,0.256,0.232,0.233,0.121,0,0.193,0.802,0.21,0.102,0.053,0.044,0.023,0.074,0.041,0.049,0.049,0.043,0.134,0.049,0.081,0.047
100441749442313,"David Procházka, zastupitel hl. m. Prahy",25,19,0.76,127,33938,1358,238988,9560,90001,15.4,0,0.111,0.169,0.079,0.061,0.013,0.015,0,0.214,0.272,0.026,0.021,0.006,0.005,0,0.325,0.441,0.105,0.083,0.019,0.02,0.447,0.544,0.976,0.024,0,0,0,0,0,0,0,0,0,0,0,0
100505211433010,Hejtmanka Petra Pecková,20,20,1,211,37490,1874,566990,28350,71751,7.2,0,0,0.132,0.213,0.198,0,0,0,0,0.149,0.168,0.135,0,0,0,0,0.281,0.381,0.333,0,0,0.542,0.452,0,0.998,0,0,0,0,0,0,0,0.001,0,0,0,0
100513202557464,"Petr Maule, kandidát do zastupitelstva Plzeň 4",8,6,0.75,8,26546,3318,172996,21624,158751,4.2,0,0.042,0.083,0.097,0.111,0.085,0.075,0,0.054,0.133,0.124,0.098,0.054,0.038,0,0.096,0.216,0.221,0.21,0.138,0.114,0.494,0.502,0.004,0.009,0.007,0.893,0.007,0.015,0.004,0.007,0.006,0.007,0.012,0.007,0.014,0.008
100590722629554,Radomír Pavlíček,18,16,0.889,76,44041,2447,233491,12972,20223,6.8,0,0.039,0.084,0.12,0.12,0.081,0.075,0,0.048,0.107,0.122,0.104,0.049,0.045,0,0.087,0.191,0.242,0.225,0.13,0.119,0.518,0.476,0,0,0,0,0,0,0,0,0,0.044,0.955,0,0,0
100596859402347,Lucie Pluhařová,15,7,0.467,49,50092,3339,293992,19599,50001,3.9,0,0.164,0.127,0.101,0.077,0.049,0.028,0,0.13,0.13,0.085,0.062,0.021,0.019,0,0.295,0.257,0.185,0.138,0.07,0.047,0.545,0.448,0.001,0,0,0,0,0,0,0,0,0,0.005,0.057,0.001,0.932
100599206002185,Alfréd Dytrt,22,15,0.682,70,45789,2081,306989,13954,80278,2.6,0,0.058,0.076,0.097,0.118,0.083,0.098,0,0.058,0.105,0.112,0.096,0.047,0.047,0,0.116,0.181,0.209,0.215,0.13,0.144,0.529,0.466,0.018,0.012,0,0,0,0.962,0.008,0,0,0,0,0,0,0
